runtime_in_min	tissue	chr	npheno
1.38	Brain_Putamen_basal_ganglia	5	1130
2.07	Brain_Putamen_basal_ganglia	6	1182
1.45	Brain_Putamen_basal_ganglia	7	1139
1.15	Brain_Putamen_basal_ganglia	8	866
1.14	Brain_Putamen_basal_ganglia	9	943
1.21	Brain_Putamen_basal_ganglia	10	945
1.54	Brain_Putamen_basal_ganglia	11	1276
1.57	Brain_Putamen_basal_ganglia	12	1252
0.62	Brain_Putamen_basal_ganglia	13	468
1.02	Brain_Putamen_basal_ganglia	14	766
1.04	Brain_Putamen_basal_ganglia	15	864
1.45	Brain_Putamen_basal_ganglia	16	1150
1.69	Brain_Putamen_basal_ganglia	17	1439
0.49	Brain_Putamen_basal_ganglia	18	369
2.34	Brain_Putamen_basal_ganglia	19	1647
0.78	Brain_Putamen_basal_ganglia	20	632
0.35	Brain_Putamen_basal_ganglia	21	271
0.78	Brain_Putamen_basal_ganglia	22	602
2.17	Brain_Spinal_cord_cervical_c-1	1	2425
1.49	Brain_Spinal_cord_cervical_c-1	2	1617
1.27	Brain_Spinal_cord_cervical_c-1	3	1358
0.96	Brain_Spinal_cord_cervical_c-1	4	902
1.11	Brain_Spinal_cord_cervical_c-1	5	1177
1.63	Brain_Spinal_cord_cervical_c-1	6	1235
1.19	Brain_Spinal_cord_cervical_c-1	7	1206
0.9	Brain_Spinal_cord_cervical_c-1	8	886
0.92	Brain_Spinal_cord_cervical_c-1	9	963
0.95	Brain_Spinal_cord_cervical_c-1	10	958
1.25	Brain_Spinal_cord_cervical_c-1	11	1325
1.28	Brain_Spinal_cord_cervical_c-1	12	1318
0.5	Brain_Spinal_cord_cervical_c-1	13	488
0.81	Brain_Spinal_cord_cervical_c-1	14	788
0.82	Brain_Spinal_cord_cervical_c-1	15	885
1.16	Brain_Spinal_cord_cervical_c-1	16	1184
1.38	Brain_Spinal_cord_cervical_c-1	17	1502
0.41	Brain_Spinal_cord_cervical_c-1	18	401
1.86	Brain_Spinal_cord_cervical_c-1	19	1692
0.61	Brain_Spinal_cord_cervical_c-1	20	641
0.3	Brain_Spinal_cord_cervical_c-1	21	290
0.63	Brain_Spinal_cord_cervical_c-1	22	618
1.97	Brain_Substantia_nigra	1	2370
1.36	Brain_Substantia_nigra	2	1591
1.13	Brain_Substantia_nigra	3	1324
0.84	Brain_Substantia_nigra	4	873
0.99	Brain_Substantia_nigra	5	1139
1.45	Brain_Substantia_nigra	6	1202
1.05	Brain_Substantia_nigra	7	1158
0.84	Brain_Substantia_nigra	8	879
0.83	Brain_Substantia_nigra	9	951
0.86	Brain_Substantia_nigra	10	950
1.14	Brain_Substantia_nigra	11	1282
1.14	Brain_Substantia_nigra	12	1285
0.44	Brain_Substantia_nigra	13	473
0.75	Brain_Substantia_nigra	14	779
0.75	Brain_Substantia_nigra	15	866
1.04	Brain_Substantia_nigra	16	1163
1.21	Brain_Substantia_nigra	17	1442
0.35	Brain_Substantia_nigra	18	376
1.71	Brain_Substantia_nigra	19	1667
0.56	Brain_Substantia_nigra	20	628
0.24	Brain_Substantia_nigra	21	266
0.56	Brain_Substantia_nigra	22	598
6.89	Cells_Cultured_fibroblasts	1	2204
4.69	Cells_Cultured_fibroblasts	2	1448
3.96	Cells_Cultured_fibroblasts	3	1212
3.11	Cells_Cultured_fibroblasts	4	834
3.36	Cells_Cultured_fibroblasts	5	1008
5.29	Cells_Cultured_fibroblasts	6	1112
3.77	Cells_Cultured_fibroblasts	7	1088
2.86	Cells_Cultured_fibroblasts	8	802
2.93	Cells_Cultured_fibroblasts	9	852
3.04	Cells_Cultured_fibroblasts	10	857
3.96	Cells_Cultured_fibroblasts	11	1187
4.12	Cells_Cultured_fibroblasts	12	1218
1.52	Cells_Cultured_fibroblasts	13	421
2.57	Cells_Cultured_fibroblasts	14	709
2.56	Cells_Cultured_fibroblasts	15	783
3.63	Cells_Cultured_fibroblasts	16	1068
4.38	Cells_Cultured_fibroblasts	17	1350
1.28	Cells_Cultured_fibroblasts	18	348
5.88	Cells_Cultured_fibroblasts	19	1501
1.94	Cells_Cultured_fibroblasts	20	566
0.86	Cells_Cultured_fibroblasts	21	243
1.91	Cells_Cultured_fibroblasts	22	530
2.38	Cells_EBV-transformed_lymphocytes	1	2254
1.63	Cells_EBV-transformed_lymphocytes	2	1491
1.28	Cells_EBV-transformed_lymphocytes	3	1221
0.96	Cells_EBV-transformed_lymphocytes	4	805
1.05	Cells_EBV-transformed_lymphocytes	5	998
1.77	Cells_EBV-transformed_lymphocytes	6	1171
1.2	Cells_EBV-transformed_lymphocytes	7	1094
0.92	Cells_EBV-transformed_lymphocytes	8	813
0.92	Cells_EBV-transformed_lymphocytes	9	865
0.94	Cells_EBV-transformed_lymphocytes	10	843
1.25	Cells_EBV-transformed_lymphocytes	11	1201
1.36	Cells_EBV-transformed_lymphocytes	12	1253
0.5	Cells_EBV-transformed_lymphocytes	13	430
0.93	Cells_EBV-transformed_lymphocytes	14	816
0.8	Cells_EBV-transformed_lymphocytes	15	785
1.24	Cells_EBV-transformed_lymphocytes	16	1121
1.46	Cells_EBV-transformed_lymphocytes	17	1434
0.4	Cells_EBV-transformed_lymphocytes	18	349
1.99	Cells_EBV-transformed_lymphocytes	19	1618
0.62	Cells_EBV-transformed_lymphocytes	20	576
0.29	Cells_EBV-transformed_lymphocytes	21	262
0.73	Cells_EBV-transformed_lymphocytes	22	629
4.99	Colon_Sigmoid	1	2420
3.39	Colon_Sigmoid	2	1615
2.98	Colon_Sigmoid	3	1358
2.23	Colon_Sigmoid	4	903
2.47	Colon_Sigmoid	5	1125
